Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
632416,Le Meilleur des mondes,Aldous Huxley,"Huxley, Aldous",Jules Castier,"=""2266128566""","=""9782266128568""",0,3.99,Pocket,Mass Market Paperback,285,2002,1932,2017/12/11,2017/10/12,,,read,,,,1,0
9717,The Unbearable Lightness of Being,Milan Kundera,"Kundera, Milan","Michael Henry Heim, Richmond Hoxie","=""0571224385""","=""9780571224388""",0,4.11,Harper Perennial,Paperback,314,2009,1984,2017/11/21,2017/11/21,,,read,,,,1,0
1520312,La société de consommation,Jean Baudrillard,"Baudrillard, Jean",J.P. Mayer,"=""""","=""""",0,4.11,Gallimard,Mass Market Paperback,318,1986,1970,2017/11/21,2017/05/22,,,read,,,,1,0
36417323,Stardust,Rania Attafi,"Attafi, Rania",,"=""""","=""""",0,4.09,Pop Libris,Paperback,80,2017,2017,,2017/11/06,to-read,to-read (#1),to-read,,,,0,0
31555189,Chanson douce,Leïla Slimani,"Slimani, Leïla",,"=""207268157X""","=""""",0,3.39,Gallimard,Kindle Edition,195,2016,2016,2017/10/12,2017/08/19,,,read,,,,1,0
175008,Rigadoon,Louis-Ferdinand Céline,"Céline, Louis-Ferdinand","Ralph Manheim, Kurt Vonnegut Jr.","=""1564781623""","=""9781564781628""",0,3.94,Dalkey Archive Press,Paperback,273,1997,1969,2017/09/27,2017/09/18,,,read,,,,1,0
1660986,La crise de la culture,Hannah Arendt,"Arendt, Hannah",Patrick Levy,"=""2070325032""","=""9782070325030""",0,4.13,Gallimard,Paperback,380,1989,1961,2017/09/18,2017/08/13,,,read,,,,1,0
476988,L'Envers et l'endroit,Albert Camus,"Camus, Albert",,"=""""","=""""",0,3.77,Gallimard,Mass Market Paperback,119,2016,1937,2017/08/08,2017/08/08,,,read,,,,1,0
2352898,La Révolution du silence,J. Krishnamurti,"Krishnamurti, J.","Mary Lutyens, Carlo Suarès","=""2253138789""","=""9782253138785""",0,4.20,Stock,Mass Market Paperback,221,2002,1970,2017/07/17,2017/07/04,,,read,,,,1,0
6295,Howl and Other Poems,Allen Ginsberg,"Ginsberg, Allen",,"=""0872863107""","=""9780872863101""",3,4.13,City Lights,Hardcover,56,2001,1956,2017/07/09,2017/07/09,,,read,,,,1,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""""","=""""",0,3.93,Scribner,Paperback,180,1925,1925,2017/07/04,2017/05/19,,,read,,,,1,0
896535,L'exil et le royaume,Albert Camus,"Camus, Albert",,"=""2070360784""","=""9782070360789""",0,3.86,Gallimard,Pocket Book,187,2018,1957,2017/05/28,2017/03/29,,,read,,,,1,0
437771,Inner Experience,Georges Bataille,"Bataille, Georges",Leslie Anne Boldt-Irons,"=""0887066356""","=""9780887066351""",0,4.16,SUNY Press,Paperback,244,1988,1943,2017/05/19,2017/04/08,,,read,,,,1,0
117546,Sur les cimes du désespoir,Emil M. Cioran,"Cioran, Emil M.",,"=""2253057819""","=""9782253057819""",0,4.17,Le Livre de Poche,Mass Market Paperback,128,1991,1933,2017/03/29,2017/02/28,,,read,,,,1,0
139246,S/Z: An Essay,Roland Barthes,"Barthes, Roland","Richard Miller, Richard Howard","=""0374521670""","=""9780374521677""",0,4.00,Hill and Wang,Paperback,271,1975,1970,2017/03/29,2016/10/16,,,read,,,,1,0
135460,My Mother/Madame Edwarda/The Dead Man,Georges Bataille,"Bataille, Georges",,"=""0714530042""","=""9780714530048""",0,3.90,Marion Boyars Publishers Ltd,Paperback,224,2000,1966,2017/02/28,2017/02/28,,,read,,,,2,0
783798,Histoire de l'œil,Georges Bataille,"Bataille, Georges",,"=""2070728501""","=""9782070728503""",0,3.66,Editions Gallimard,Paperback,140,1993,1928,2017/02/28,2017/02/06,,,read,,,,1,0
25904039,Le Crépuscule des idoles Ou Comment on philosophe avec un marteau,Friedrich Nietzsche,"Nietzsche, Friedrich",Henri Albert,"=""""","=""""",5,3.95,,Kindle Edition,93,2015,1889,2016/09/23,2016/09/23,,,read,,,,1,0
32300391,Jacques le fataliste (French Edition),Denis Diderot,"Diderot, Denis",Yasmira Cedeno,"=""1537780417""","=""9781537780412""",0,3.81,CreateSpace Independent Publishing Platform,Paperback,204,2016,1796,2017/02/06,2017/01/01,,,read,,,,1,0
864055,L'Arrêt de mort,Maurice Blanchot,"Blanchot, Maurice",,"=""2070296997""","=""9782070296996""",0,3.72,Gallimard,Pocket Book,140,1977,1948,2017/02/06,2017/01/28,,,read,,,,1,0
